"","stars","makeup_id","name","review_count","useful","fans","average_stars","store_name","store_stars","store_review_count","is_open","state","useful_pct","review_count_c","fans_c","store_review_count_c","useful_pct_c"
"1","5",213,"Ryan",102,44,1,4.47,"Guy Fieri's Vegas Kitchen & Bar",3.5,2412,"1","NV",0.431372549019608,-0.468984431831671,-0.35401095612519,2.7138893222712,-0.0789630843763471
"2","5",898,"Rachel",214,9,5,4.11,"Guy Fieri's Vegas Kitchen & Bar",3.5,2412,"1","NV",0.0420560747663551,-0.194544308419296,-0.303396066256703,2.7138893222712,-0.106946751200047
"3","3",1102,"Duy",311,22,25,3.69,"Burger Bar",4,2396,"1","NV",0.0707395498392283,0.0431404413217784,-0.0503216169142711,2.68761615593698,-0.10488501258155
"4","5",1619,"Sean",213,116,45,4,"Burger Bar",4,2396,"1","NV",0.544600938967136,-0.19699466666405,0.202752832428161,2.68761615593698,-0.0708243444338537
"5","4",1994,"Joe",151,100,11,4.17,"Guy Fieri's Vegas Kitchen & Bar",3.5,2412,"1","NV",0.662251655629139,-0.348916877838757,-0.227473731453974,2.7138893222712,-0.0623677322060922
"6","2",2242,"Li-mei",139,15,6,3.56,"Tao Nightclub",3,2071,"1","NV",0.107913669064748,-0.378321176775798,-0.290742343789582,2.15394246477314,-0.102212975214349
"7","1",2338,"Jade",109,21,6,3.36,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",0.192660550458716,-0.451831924118398,-0.290742343789582,2.495493627118,-0.0961214567451521
"8","4",2660,"Justin",406,80,21,3.47,"Burger Bar",4,2396,"1","NV",0.197044334975369,0.275924474573346,-0.100936506782758,2.68761615593698,-0.0958063548333303
"9","4",2676,"Daniel",91,2,1,3.58,"Tao Nightclub",3,2071,"1","NV",0.021978021978022,-0.495938372523958,-0.35401095612519,2.15394246477314,-0.108389940936046
"10","5",2680,"C",363,81,17,2.67,"Burger Bar",4,2396,"1","NV",0.223140495867769,0.170559070048952,-0.151551396651244,2.68761615593698,-0.093930589690868
"11","4",2720,"Yuri",1339,1166,76,4.11,"Tao Nightclub",3,2071,"1","NV",0.870799103808813,2.56210871692822,0.595018228908931,2.15394246477314,-0.0473775566221107
"12","3",2790,"Michele",152,93,10,3.71,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",0.611842105263158,-0.346466519594004,-0.240127453921095,2.495493627118,-0.0659911187192879
"13","5",3967,"Karen",434,0,13,3.85,"Burger Bar",4,2396,"1","NV",0,0.34453450542644,-0.20216628651973,2.68761615593698,-0.109969698498724
"14","3",4230,"Anthony",207,211,10,3.44,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",1.01932367149758,-0.21169681613257,-0.240127453921095,2.495493627118,-0.0367017638103402
"15","5",4454,"Tri",185,13,5,3.4,"Burger Bar",4,2396,"1","NV",0.0702702702702703,-0.265604697517143,-0.303396066256703,2.68761615593698,-0.104918743913187
"16","2",4603,"Deryck",165,47,12,4.11,"Tao Nightclub",3,2071,"1","NV",0.284848484848485,-0.31461186241221,-0.214820008986852,2.15394246477314,-0.0894950830575843
"17","4",4796,"Kay",356,86,21,3.6,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",0.241573033707865,0.153406562335679,-0.100936506782758,2.495493627118,-0.0926056778729905
"18","5",5255,"Herb",95,4,6,4.09,"Burger Bar",4,2396,"1","NV",0.0421052631578947,-0.486136939544945,-0.290742343789582,2.68761615593698,-0.106943215589172
"19","2",5282,"Eric",70,3,0,3.84,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",0.0428571428571429,-0.547395895663779,-0.366664678592311,2.495493627118,-0.106889171251501
"20","3",5675,"Allen",324,8,4,2.99,"Burger Bar",4,2396,"1","NV",0.0246913580246914,0.0749950985035719,-0.316049788723825,2.68761615593698,-0.108194909138184
"21","2",5792,"Akira",54,28,6,3.48,"Tao Nightclub",3,2071,"1","NV",0.518518518518518,-0.586601627579832,-0.290742343789582,2.15394246477314,-0.072699121927382
"22","5",6398,"Ed",904,141,38,3.6,"Gordon Ramsay Pub & Grill",3.5,2279,"1","NV",0.155973451327434,1.49620288046051,0.11417677515831,2.495493627118,-0.0987584876100469
"23","4",6398,"Ed",904,141,38,3.6,"Burger Bar",4,2396,"1","NV",0.155973451327434,1.49620288046051,0.11417677515831,2.68761615593698,-0.0987584876100469
"24","3",6414,"Michelle",93,19,8,4.16,"Guy Fieri's Vegas Kitchen & Bar",3.5,2412,"1","NV",0.204301075268817,-0.491037656034452,-0.265434898855338,2.7138893222712,-0.0952847478219972
"25","5",6536,"Boris",97,44,3,4.22,"Tao Nightclub",3,2071,"1","NV",0.45360824742268,-0.481236223055438,-0.328703511190947,2.15394246477314,-0.077364805297874
"26","5",7184,"Andrew",344,82,38,4.28,"Burger Bar",4,2396,"1","NV",0.238372093023256,0.124002263398639,0.11417677515831,2.68761615593698,-0.0928357581895565
"27","1",7329,"T",58,32,1,2.94,"Tao Nightclub",3,2071,"1","NV",0.551724137931034,-0.576800194600819,-0.35401095612519,2.15394246477314,-0.0703123362356211
